platform,title,url,cover_url,author,published_at,like_count,comment_count,collect_count,share_count,hot_score,recent_hot_score,case_type,built_thing,tool_stack,target_audience,hook,content_value,evidence_level,monetization_signal,risk_flag,primary_category,category_label,product_forms,tools,motives,audience,confidence,description,source
xiaohongshu,把 Claude Code 变好用，我推荐这10个插件,https://www.xiaohongshu.com/explore/6a243f6c0000000007012722,,XQ Labs,2026-06-06,23,,,,23.0,2.56,工具测评,插件,Claude、Claude Code,,,,弱,,,dev_productivity,开发提效/编程技巧,,Claude、Claude Code,,,0.95,把 Claude Code 变好用，我推荐这10个插件 XQ Labs 06-06 23,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,B站长视频看不下去？我做了个B站AI学习插件,https://www.xiaohongshu.com/explore/6a20791e000000002201b3c9,,圈鼠,2026-06-04,230,,,,230.0,20.91,真案例,内容/创作、插件、求职/学习工具,,设计/创作者,,有结果,强,,,content_marketing,内容和营销创作,课程/内容,,,设计/创作者,0.45,B站长视频看不下去？我做了个B站AI学习插件 圈鼠 06-04 230,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,如何一天搓出来AI产品项目经历，简历足够用,https://www.xiaohongshu.com/explore/6a23a81300000000170296d7,,明叨叨继续上班,2026-06-06,473,,,,473.0,52.56,教程,求职/学习工具,,创业者/独立开发者,几小时上线,有结果,中,,,product_build,做产品/工具,,,,创业者/独立开发者,0.95,如何一天搓出来AI产品项目经历，简历足够用 明叨叨继续上班 06-06 473,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,土木毕业，不会写代码，我用AI做了4个小程序,https://www.xiaohongshu.com/explore/6a2e8a8e0000000008003ba6,,海哥的摸鱼日记,2026-06-14,赞,,,,0.0,0.0,真案例,小程序,,开发者,,有结果,强,,,dev_productivity,开发提效/编程技巧,小程序,,,开发者,0.7,土木毕业，不会写代码，我用AI做了4个小程序 海哥的摸鱼日记 昨天 19:03 赞,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,人生第一个 Web Coding 的成品,https://www.xiaohongshu.com/explore/6a2e70770000000022015c7d,,Coco彦鹏,2026-06-14,47,,,,47.0,47.0,真案例,创意实验/好玩项目,,,,有结果,强,,,content_marketing,内容和营销创作,,,,,0.45,人生第一个 Web Coding 的成品 Coco彦鹏 昨天 17:12 47,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,Trae使用初体验,https://www.xiaohongshu.com/explore/6a27d34c00000000150275ce,,学习,2026-06-10,6,,,,6.0,1.2,工具测评,求职/学习工具,Trae,,几小时上线,,弱,,,dev_productivity,开发提效/编程技巧,,Trae,,,0.95,Trae使用初体验 学习 5天前 6,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,避坑扣子，花了150万token只会犯错和认错,https://www.xiaohongshu.com/explore/6a283b59000000003501fd35,,不看，不听，不说,2026-06-10,1,,,,1.0,0.2,失败复盘,,Coze,,失败复盘、几小时上线,,弱,,,content_marketing,内容和营销创作,,Coze,,,0.45,避坑扣子，花了150万token只会犯错和认错 不看，不听，不说 5天前 1,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,都说fable5强，但这3个方面真的坑啊。。。,https://www.xiaohongshu.com/explore/6a2a32b7000000003502fbee,,Cyrus宇,2026-06-12,35,,,,35.0,11.67,失败复盘,,Fabel5,,失败复盘,,弱,,,content_marketing,内容和营销创作,,Fabel5,,,0.45,都说fable5强，但这3个方面真的坑啊。。。 Cyrus宇 3天前 35,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,AI产品经理必学实战Agent工作流（Coze版）,https://www.xiaohongshu.com/explore/6a282666000000003502844a,,AI产品经理Charles,2026-06-10,3,,,,3.0,0.6,教程,AI agent、自动化流程,Coze,创业者/独立开发者,几小时上线、效率提升,可复刻、有结果,中,,,workflow_automation,工作流和运营自动化,AI Agent/工作流,Coze,工作提效,创业者/独立开发者,0.82,AI产品经理必学实战Agent工作流（Coze版） AI产品经理Charles 5天前 3,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
xiaohongshu,怎么用AI建立我的“视频团队”工作流,https://www.xiaohongshu.com/explore/6a1d33e1000000003803726b,,拍视频的阿杰,2026-06-02,1709,,,,1709.0,131.46,教程,内容/创作、自动化流程,,设计/创作者,效率提升,可复刻,中,,,learning_tutorial,教程/课程/方法论,AI Agent/工作流、课程/内容,,学习入门、工作提效,设计/创作者,0.7,怎么用AI建立我的“视频团队”工作流 拍视频的阿杰 06-02 1709,csv:data\radar_cover_backfill_xhs_2026-05-16_2026-06-15.csv
